invention	invention	2357	3745	NN 
provide	provide	2680	3745	VB 
combination	combination	1660	3806	NN 
hammer	hammer	1941	3806	NN 
lumber	lumber	2234	3806	NN 
manipulating	manipulate	2404	3806	NN 
tool	tool	2698	3806	NN 
reduces	reduce	1660	3865	VBZ 
worker	worker	1827	3865	NN 
fatigue	fatigue	1983	3865	NN 
saves	save	2221	3878	VBZ 
amount	amount	2343	3871	NN 
time	time	2560	3865	NN 
required	require	2660	3865	VBN 
complete	complete	1660	3926	JJ 
building	build	1903	3926	NN 
object	object	1898	3996	NN 
invention	invention	2357	3996	NN 
provide	provide	2680	3996	VB 
combination	combination	1660	4055	NN 
hammer	hammer	1941	4056	NN 
lumber	lumber	2234	4056	NN 
manipulating	manipulate	2404	4055	NN 
tool	tool	2698	4056	NN 
increases	increase	1660	4116	NNS 
quality	quality	1936	4116	NN 
workmanship	workmanship	2147	4116	NN 
tool	tool	2801	4117	NN 
objects	object	1871	4246	NNS 
invention	invention	2153	4246	NN 
appear	appear	2446	4259	VB 
accomplishment	accomplishment	1859	4376	NN 
related	relate	2570	4376	VBN 
invention	invention	1745	4436	NN 
embodied	embody	2106	4436	VBN 
form	form	2444	4436	NN 
illustrated	illustrate	2554	4436	VBN 
accompanying	accompany	1662	4497	VBG 
attention	attention	2192	4497	NN 
called	call	2517	4497	VBN 
drawings	drawing	732	511	NNS 
illustrative	illustrative	1025	511	NN 
changes	change	340	571	NNS 
specific	specific	925	571	NN 
construction	construction	1093	571	NN 
illustrated	illustrate	1357	571	VBN 
described	describe	431	632	VBN 
scope	scope	868	645	NN 
appended	append	1140	632	VBN 
BRIEF	BRIEF	462	745	NN 
DESCRIPTION	DESCRIPTION	623	745	NN 
DRAWINGS	DRAWING	1167	745	NNS 
Various	Various	392	836	JJ 
features	feature	859	836	NNS 
attendant	attendant	1131	837	NN 
advantages	advantage	1335	837	NNS 
invention	invention	626	897	NN 
appreciated	appreciate	1199	897	VBN 
understood	understand	794	957	VBN 
considered	consider	1171	957	VBN 
junction	junction	336	1018	NN 
accompanying	accompany	730	1018	VBG 
reference	reference	340	1079	NN 
characters	character	555	1079	NNS 
