level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
3	1	22	6	0	0	598	2387	663	50	-1	
4	1	22	6	1	0	598	2387	663	50	-1	
5	1	22	6	1	1	598	2388	142	38	31	A61IM
5	1	22	6	1	2	753	2388	119	38	94	31/00
5	1	22	6	1	3	1059	2387	202	50	94	(2006.01)
3	1	22	7	0	0	598	2454	663	51	-1	
4	1	22	7	1	0	598	2454	663	51	-1	
5	1	22	7	1	1	598	2455	124	38	46	A6IB
5	1	22	7	1	2	743	2455	90	38	96	1/32
5	1	22	7	1	3	1059	2454	202	51	93	(2006.01)
3	1	22	8	0	0	598	2523	663	51	-1	
4	1	22	8	1	0	598	2523	663	51	-1	
5	1	22	8	1	1	598	2524	126	38	34	A61F
5	1	22	8	1	2	741	2524	116	38	95	11/00
5	1	22	8	1	3	1059	2523	202	51	93	(2006.01)
3	1	22	9	0	0	602	2598	1119	48	-1	
4	1	22	9	1	0	602	2598	1119	48	-1	
5	1	22	9	1	1	602	2599	90	38	82	U.S,
5	1	22	9	1	2	709	2599	62	38	77	Ch.
5	1	22	9	1	3	806	2631	362	6	30	..on
5	1	22	9	1	4	1207	2599	248	47	45	128/200.26;,
5	1	22	9	1	5	1476	2598	245	48	50	128/207.14;
2	1	23	0	0	0	602	2667	1119	537	-1	
3	1	23	1	0	0	602	2667	1119	456	-1	
4	1	23	1	1	0	744	2667	977	48	-1	
5	1	23	1	1	1	744	2667	244	48	71	128/207.15;
5	1	23	1	1	2	1010	2667	244	48	71	128/207.16;
5	1	23	1	1	3	1276	2667	243	48	79	128/207.17;
5	1	23	1	1	4	1539	2667	182	48	93	600/237;
4	1	23	1	2	0	737	2736	984	48	-1	
5	1	23	1	2	1	737	2736	182	48	92	600/238;
5	1	23	1	2	2	938	2736	182	48	92	600/239;
5	1	23	1	2	3	1138	2736	182	48	95	600/240;
5	1	23	1	2	4	1339	2736	180	48	95	604/171;
5	1	23	1	2	5	1539	2736	182	48	95	604/179;
4	1	23	1	3	0	1153	2803	568	49	-1	
5	1	23	1	3	1	1153	2803	181	49	90	604/264;
5	1	23	1	3	2	1353	2803	182	49	71	604/270;
5	1	23	1	3	3	1553	2803	168	40	94	606/108
4	1	23	1	4	0	602	2878	1119	49	-1	
5	1	23	1	4	1	602	2880	111	38	96	Field
5	1	23	1	4	2	730	2880	45	38	96	of
5	1	23	1	4	3	786	2880	299	38	95	Classification
5	1	23	1	4	4	1101	2880	151	38	90	Search
5	1	23	1	4	5	1280	2911	151	7	61	............
5	1	23	1	4	6	1479	2878	242	49	91	128/200.26,
4	1	23	1	5	0	751	2947	970	49	-1	
5	1	23	1	5	1	751	2947	242	49	91	128/207.14,
5	1	23	1	5	2	1012	2949	153	47	94	207.15,
5	1	23	1	5	3	1183	2949	152	47	94	207.16,
5	1	23	1	5	4	1353	2949	155	47	86	207.17;
5	1	23	1	5	5	1540	2947	181	49	94	600/237,
4	1	23	1	6	0	799	3016	922	49	-1	
5	1	23	1	6	1	799	3016	180	49	96	600/238,
5	1	23	1	6	2	997	3018	88	47	94	239,
5	1	23	1	6	3	1102	3018	88	47	91	240;
5	1	23	1	6	4	1224	3016	179	49	94	604/171,
5	1	23	1	6	5	1425	3018	83	47	93	179,
5	1	23	1	6	6	1526	3018	88	47	93	264,
5	1	23	1	6	7	1632	3018	89	47	94	270;
4	1	23	1	7	0	1553	3084	168	39	-1	
5	1	23	1	7	1	1553	3084	168	39	96	606/108
3	1	23	2	0	0	603	3153	995	51	-1	
4	1	23	2	1	0	603	3153	995	51	-1	
5	1	23	2	1	1	603	3154	72	38	96	See
5	1	23	2	1	2	691	3153	233	51	95	application
5	1	23	2	1	3	938	3153	65	39	95	file
5	1	23	2	1	4	1019	3153	60	39	96	for
5	1	23	2	1	5	1093	3153	191	51	96	complete
5	1	23	2	1	6	1301	3153	131	39	96	search
5	1	23	2	1	7	1445	3153	153	51	95	history.
2	1	24	0	0	0	1832	752	817	50	-1	
3	1	24	1	0	0	1832	752	817	50	-1	
4	1	24	1	1	0	1832	752	817	50	-1	
5	1	24	1	1	1	1832	752	83	50	93	(56)
5	1	24	1	1	2	2272	753	241	38	95	References
5	1	24	1	1	3	2529	753	120	38	95	Cited
2	1	25	0	0	0	2141	856	636	38	-1	
3	1	25	1	0	0	2141	856	636	38	-1	
4	1	25	1	1	0	2141	856	636	38	-1	
5	1	25	1	1	1	2141	856	90	38	94	U.S.
5	1	25	1	1	2	2250	856	188	38	96	PATENT
5	1	25	1	1	3	2453	856	324	38	88	DOCUMENTS
2	1	26	0	0	0	1858	972	565	320	-1	
3	1	26	1	0	0	1858	972	565	320	-1	
4	1	26	1	1	0	1943	972	232	41	-1	
5	1	26	1	1	1	1943	972	181	41	89	D283,158
5	1	26	1	1	2	2154	972	21	33	94	S
4	1	26	1	2	0	1943	1044	242	41	-1	
5	1	26	1	2	1	1943	1044	181	41	91	5,174,284
5	1	26	1	2	2	2152	1044	33	33	95	A
4	1	26	1	3	0	1941	1113	480	42	-1	
